MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
2017-12-15 00:00:00,17059,17063,17063,17058,30.75557089
2017-12-15 00:01:00,17063,17073,17087,17062,18.91588386
2017-12-15 00:02:00,17072,17070,17078,17064,19.53540611
2017-12-15 00:03:00,17072,17082,17083,17064,24.56615822
2017-12-15 00:04:00,17079,17068,17079,17068,5.95600357
2017-12-15 00:05:00,17069,17040,17069,17039,22.8954654
2017-12-15 00:06:00,17040,17040,17040,17033,8.46314229
2017-12-15 00:07:00,17039,17038,17040,17031,7.29260333
2017-12-15 00:08:00,17039,17031,17039,17030,15.59210066
2017-12-15 00:09:00,17031,17031,17031,17030,39.47849973
2017-12-15 00:10:00,17031,17065,17070,17030,23.5819462
2017-12-15 00:11:00,17064,17070,17075,17031,25.66047656
2017-12-15 00:12:00,17073,17068,17093,17060,25.22963114
2017-12-15 00:13:00,17069,17070,17099,17060,80.64628817
2017-12-15 00:14:00,17070,17110,17113,17069,54.01794279
2017-12-15 00:15:00,17110,17107,17113,17080,21.46561475
2017-12-15 00:16:00,17090,17106,17110,17090,27.67771746
2017-12-15 00:17:00,17107,17106,17109,17106,12.04139353
2017-12-15 00:18:00,17107,17098,17107,17095,15.32027658
2017-12-15 00:19:00,17097,17100,17100,17080,22.67031193
2017-12-15 00:20:00,17101,17101,17102,17100,9.73968174
2017-12-15 00:21:00,17101,17064,17101,17062,32.90150717
2017-12-15 00:22:00,17064,17076,17077,17064,29.09756092
2017-12-15 00:23:00,17076,17107,17107,17073,36.00870716
2017-12-15 00:24:00,17091,17102,17109,17073,29.40289078
2017-12-15 00:25:00,17102,17125,17147,17102,41.22269364
2017-12-15 00:26:00,17124,17112,17149,17104,26.22959421
2017-12-15 00:27:00,17112,17103,17133,17102,15.10348899
2017-12-15 00:28:00,17102,17109,17138,17094,27.69967255
2017-12-15 00:29:00,17108,17105,17134,17105,24.67073677
2017-12-15 00:30:00,17106,17114,17145,17103,20.71617782
2017-12-15 00:31:00,17116,17136,17150,17105,21.74436861
2017-12-15 00:32:00,17143,17129,17150,17100,33.97209852
2017-12-15 00:33:00,17128,17134,17164,17125,53.38757539
2017-12-15 00:34:00,17134,17140,17169,17125,32.33347691
2017-12-15 00:35:00,17143,17128,17150,17125,43.30215016
2017-12-15 00:36:00,17125,17136,17140,17125,29.42324291
2017-12-15 00:37:00,17136,17129,17140,17120,16.3449483
2017-12-15 00:38:00,17129,17140,17150,17124,34.7331369
2017-12-15 00:39:00,17140,17142,17169,17102,40.77685654
2017-12-15 00:40:00,17143,17167,17171,17142,27.75321423
2017-12-15 00:41:00,17165,17176,17197,17165,31.39892213
2017-12-15 00:42:00,17176,17172,17198,17144,36.29287247
2017-12-15 00:43:00,17173,17181,17202,17172,42.45228208
2017-12-15 00:44:00,17180,17211,17240,17179,96.19691942
2017-12-15 00:45:00,17211,17225,17240,17211,49.75135278
2017-12-15 00:46:00,17224,17225,17240,17224,24.2414632
2017-12-15 00:47:00,17226,17227,17239,17225,53.86073214
2017-12-15 00:48:00,17232,17236,17249,17225,48.53931123
2017-12-15 00:49:00,17236,17246,17246,17235,64.16527442
2017-12-15 00:50:00,17239,17241,17244,17237,29.75883091
2017-12-15 00:51:00,17240,17241,17246,17238,50.85517994
2017-12-15 00:52:00,17241,17250,17266,17240,34.12001193
2017-12-15 00:53:00,17250,17289.49584689,17295,17250,51.71572341
2017-12-15 00:54:00,17289,17298,17299,17281,13.71723395
2017-12-15 00:55:00,17299,17316,17329,17299,52.34010651
2017-12-15 00:56:00,17320,17283,17320,17273,35.77909276
2017-12-15 00:57:00,17283,17277,17302,17265.90532179,31.19749381
2017-12-15 00:58:00,17279,17274,17288,17259,20.96163081
2017-12-15 00:59:00,17277,17281,17295,17276,8.05485025
2017-12-15 01:00:00,17281,17294,17300,17281,30.3586656
2017-12-15 01:01:00,17299,17326,17327.24068705,17290.67537314,51.80842624
2017-12-15 01:02:00,17320,17327.24068705,17327.24068705,17320,14.82959099
2017-12-15 01:03:00,17327.24068705,17349,17349,17325,22.48198908
2017-12-15 01:04:00,17348,17350,17359,17329,15.47483387
2017-12-15 01:05:00,17350,17377,17379,17331,60.003234
2017-12-15 01:06:00,17377.96031602,17392.11463108,17392.11463108,17355,20.44120777
2017-12-15 01:07:00,17388,17392.11463108,17392.11463108,17375,23.41797364
2017-12-15 01:08:00,17388,17399,17400,17376,33.73812186
2017-12-15 01:09:00,17399,17406,17423,17398,36.21744413
2017-12-15 01:10:00,17416,17408,17420,17400,25.31697589
2017-12-15 01:11:00,17409,17445,17461,17400,118.45009903
2017-12-15 01:12:00,17445,17442,17469,17431,38.24930107
2017-12-15 01:13:00,17443,17455,17469,17442,31.6042027
2017-12-15 01:14:00,17450,17500,17500,17450,95.10606811
2017-12-15 01:15:00,17498,17490,17500,17475,173.84672781
2017-12-15 01:16:00,17479,17512,17550,17475,169.67787597
2017-12-15 01:17:00,17524,17539,17562,17490,192.94597013
2017-12-15 01:18:00,17538,17493,17558,17486,32.75424949
2017-12-15 01:19:00,17490,17461,17493,17451,77.03496922
2017-12-15 01:20:00,17461,17461.96220445,17470,17430,96.91008781
2017-12-15 01:21:00,17461.96220445,17472,17495,17450,33.92228863
2017-12-15 01:22:00,17469,17472,17491,17453,33.20504316
2017-12-15 01:23:00,17481,17496,17508,17466,31.12452143
2017-12-15 01:24:00,17497,17470,17500,17452,33.7684645
2017-12-15 01:25:00,17468,17402,17472,17400,89.53901114
2017-12-15 01:26:00,17402,17430,17442,17400,36.54823982
2017-12-15 01:27:00,17430,17409,17441,17409,17.77750159
2017-12-15 01:28:00,17409,17395,17410,17389,31.79955417
2017-12-15 01:29:00,17395,17429,17449,17393,39.87057041
2017-12-15 01:30:00,17438,17421,17449,17408,32.19579183
2017-12-15 01:31:00,17421,17396,17425,17393,22.63764046
2017-12-15 01:32:00,17403,17423,17425,17384,26.05727556
2017-12-15 01:33:00,17424,17425,17450,17424,20.0978423
2017-12-15 01:34:00,17425,17447,17466,17421,21.25751022
2017-12-15 01:35:00,17448,17463,17482,17447,24.18192714
2017-12-15 01:36:00,17465,17477,17480.82343413,17453,13.33384466
2017-12-15 01:37:00,17467,17454,17477,17447,16.18503374
2017-12-15 01:38:00,17454,17460,17464,17430,17.30183099
2017-12-15 01:39:00,17457,17478,17480,17448,22.08547237
2017-12-15 01:40:00,17478,17465,17479,17462,6.14874141
2017-12-15 01:41:00,17464,17466,17467,17455,8.01090231
2017-12-15 01:42:00,17466,17458,17467,17440,13.86840369
2017-12-15 01:43:00,17458,17455,17460,17445,9.23612732
2017-12-15 01:44:00,17455,17443,17464,17440,13.31328843
2017-12-15 01:45:00,17443,17432,17446,17432,11.61065229
2017-12-15 01:46:00,17445,17438,17446,17410,21.6894369
2017-12-15 01:47:00,17438,17442,17444,17421,7.61393869
2017-12-15 01:48:00,17442,17458,17465,17430,22.35246651
2017-12-15 01:49:00,17458,17464,17465,17450,12.65628557
2017-12-15 01:50:00,17463,17467,17470,17461,37.81799317
2017-12-15 01:51:00,17467,17448,17473,17427.39763837,48.0322596
2017-12-15 01:52:00,17458,17482,17483,17451,59.15042786
2017-12-15 01:53:00,17483,17485,17486,17480,35.68349022
2017-12-15 01:54:00,17486,17507,17507,17480,53.48778896
2017-12-15 01:55:00,17510,17559.50379982,17560,17506,91.3642064
2017-12-15 01:56:00,17560,17590,17600,17553,168.46712355
2017-12-15 01:57:00,17591,17651,17800,17576,782.55427398
2017-12-15 01:58:00,17658,17714,17784,17652,230.11801195
2017-12-15 01:59:00,17714,17660,17739,17657,256.78683745
2017-12-15 02:00:00,17681,17675,17697,17643,59.89582803
2017-12-15 02:01:00,17675,17745.86784902,17757,17675,229.40488287
2017-12-15 02:02:00,17745,17770,17771,17744,91.70161165
2017-12-15 02:03:00,17771,17811,17811,17770,142.34605172
2017-12-15 02:04:00,17811,17817,17825,17806,120.45315852
2017-12-15 02:05:00,17818,17824,17825,17812,51.05024828
2017-12-15 02:06:00,17825,17841,17841,17823,96.6071239
2017-12-15 02:07:00,17841,17859,17860,17841,204.82284474
2017-12-15 02:08:00,17860,17861,17879,17806,217.16557552
2017-12-15 02:09:00,17860.28122099,17788.33054377,17861,17771,103.05021887
2017-12-15 02:10:00,17789,17780,17797,17740,126.07774091
2017-12-15 02:11:00,17777,17773,17800,17751,59.86811294
2017-12-15 02:12:00,17776,17765,17800,17754,58.32045819
2017-12-15 02:13:00,17762,17803,17812,17761,60.00893631
2017-12-15 02:14:00,17810,17839,17856,17803,97.45682463
2017-12-15 02:15:00,17838,17844,17857,17832,42.41959951
2017-12-15 02:16:00,17842,17869,17871,17830,32.52795715
2017-12-15 02:17:00,17856,17909,17914,17855,235.5057218
2017-12-15 02:18:00,17909,17950,17950,17896,135.79178061
2017-12-15 02:19:00,17933,18000,18000,17933,358.92176455
2017-12-15 02:20:00,17998,18101,18111,17990,258.93090974
2017-12-15 02:21:00,18101,17898.13465204,18101,17898.13465204,158.07976947
2017-12-15 02:22:00,17939,17975,17975,17898.13465204,121.13399694
2017-12-15 02:23:00,17975,17938,17979,17923,56.08503957
2017-12-15 02:24:00,17937,17942,17975,17905,68.72100311
2017-12-15 02:25:00,17942,17962,17970,17930,18.78126198
2017-12-15 02:26:00,17961,17933,17999,17888,138.70543165
2017-12-15 02:27:00,17942,17852,17946,17814,110.19878316
2017-12-15 02:28:00,17856,17866,17881,17819,80.28315765
2017-12-15 02:29:00,17865,17901,17901,17852,57.37809167
2017-12-15 02:30:00,17901,17926,17949,17884,54.96955066
2017-12-15 02:31:00,17927,17971,17980,17920,59.75363431
2017-12-15 02:32:00,17972,18029,18033,17972,44.61318914
2017-12-15 02:33:00,18029,17979,18048,17967,68.12482771
2017-12-15 02:34:00,17972,18036,18071,17972,109.21678434
2017-12-15 02:35:00,18022.05843301,18049,18084,18022,80.09709681
2017-12-15 02:36:00,18060,17963,18077,17900,180.70748988
2017-12-15 02:37:00,17949,18055,18072,17949,185.44103412
2017-12-15 02:38:00,18054,18049,18071,18011.43639464,57.95494139
2017-12-15 02:39:00,18049,18007,18060,18000,49.39188059
2017-12-15 02:40:00,18007,18010,18021,17987,27.15999598
2017-12-15 02:41:00,18007,17920,18008,17919,85.08590468
2017-12-15 02:42:00,17920,17917,17940,17905,62.09065588
2017-12-15 02:43:00,17917,17952,17986,17900,88.68846442
2017-12-15 02:44:00,17952,17960,17996,17942,47.83957429
2017-12-15 02:45:00,17960,17912,17963,17900,28.62579095
2017-12-15 02:46:00,17911,17866.26853693,17912,17850,72.18470098
2017-12-15 02:47:00,17852,17855,17879,17815,63.43180903
2017-12-15 02:48:00,17855,17830,17878,17830,47.22779366
2017-12-15 02:49:00,17830,17810,17830,17797,59.45169307
2017-12-15 02:50:00,17810,17750,17811,17750,40.92694147
2017-12-15 02:51:00,17750,17711,17775,17710,108.96257029
2017-12-15 02:52:00,17712,17770,17805,17702,133.22491636
2017-12-15 02:53:00,17758,17770,17807,17730,131.69693097
2017-12-15 02:54:00,17770,17808,17817,17770,74.27809619
2017-12-15 02:55:00,17821,17854,17883,17807,64.79178613
2017-12-15 02:56:00,17854,17872,17903,17850,76.81908347
2017-12-15 02:57:00,17873,17881,17899,17860,30.97517803
2017-12-15 02:58:00,17881,17909,17910,17880,47.22630679
2017-12-15 02:59:00,17909,17941,17944,17909,123.43092546
2017-12-15 03:00:00,17942,17887,17942,17861,104.75045004
2017-12-15 03:01:00,17887,17903,17930,17860,61.55716659
2017-12-15 03:02:00,17909,17888,17921.73918175,17887,37.81582264
2017-12-15 03:03:00,17887,17813,17887,17794,47.09853337
2017-12-15 03:04:00,17812,17805,17830,17800,16.00506884
2017-12-15 03:05:00,17816,17834,17834,17801,15.69661379
2017-12-15 03:06:00,17833,17868,17888,17833,34.97896068
2017-12-15 03:07:00,17868,17835,17886,17835,16.44643172
2017-12-15 03:08:00,17846,17815,17847,17813,13.01027838
2017-12-15 03:09:00,17815,17820,17840,17812,15.68610196
2017-12-15 03:10:00,17820,17813,17838,17812,14.58316665
2017-12-15 03:11:00,17812,17802,17817,17801,38.72378099
2017-12-15 03:12:00,17802,17755,17802,17730,92.82073183
2017-12-15 03:13:00,17746,17780,17792,17745.13996017,23.81970119
2017-12-15 03:14:00,17781,17780,17790,17780,24.09920447
2017-12-15 03:15:00,17772,17772,17783,17753,15.69262431
2017-12-15 03:16:00,17771,17799,17816,17771,41.48154261
2017-12-15 03:17:00,17799,17834,17849,17799,48.41767165
2017-12-15 03:18:00,17835,17858,17870,17834,27.02380114
2017-12-15 03:19:00,17843,17822,17857,17812,28.54967141
2017-12-15 03:20:00,17829,17819,17841,17800,36.42237134
2017-12-15 03:21:00,17818,17806,17839,17805,14.83778196
2017-12-15 03:22:00,17807,17802,17808,17801,11.63691088
2017-12-15 03:23:00,17802,17817,17818,17800,16.83728427
2017-12-15 03:24:00,17816,17850,17850,17816,10.35662217
2017-12-15 03:25:00,17850,17882,17888,17850,37.97646476
2017-12-15 03:26:00,17882,17887,17888,17882,10.74278086
2017-12-15 03:27:00,17886,17811,17887,17811,43.33782602
2017-12-15 03:28:00,17813,17814,17823,17811,11.80231998
2017-12-15 03:29:00,17813,17825,17825,17813,6.1336532
2017-12-15 03:30:00,17828,17844,17866,17828,15.4453587
2017-12-15 03:31:00,17843,17830,17844,17830,11.04681824
2017-12-15 03:32:00,17831,17833,17845,17830,5.73949923
2017-12-15 03:33:00,17833,17821,17833,17820,10.1659
2017-12-15 03:34:00,17821,17825,17840,17820,8.39074675
2017-12-15 03:35:00,17840,17852,17863,17824,14.62092455
2017-12-15 03:36:00,17852,17847,17868,17842,29.70387249
2017-12-15 03:37:00,17847,17875,17888,17847,36.36180376
2017-12-15 03:38:00,17877,17932,17940,17873,46.76246671
2017-12-15 03:39:00,17931,17949,17949,17926,28.27503072
2017-12-15 03:40:00,17949,17939,17950,17906,34.70325039
2017-12-15 03:41:00,17939,17929,17939,17920,13.00440296
2017-12-15 03:42:00,17928,17939,17939,17922,17.95007043
2017-12-15 03:43:00,17939,17940,17940,17938,13.08890234
2017-12-15 03:44:00,17940,17975,17976,17939,45.83863655
2017-12-15 03:45:00,17974,17967,17974,17955,19.90903464
2017-12-15 03:46:00,17969,17971,17973,17966,18.28332592
2017-12-15 03:47:00,17972,17974,17975,17966,24.93161943
2017-12-15 03:48:00,17974,17999,18005,17974,49.08903676
2017-12-15 03:49:00,17998,18026,18040,17998,71.05154782
2017-12-15 03:50:00,18027,18039,18042,18027,40.38238033
2017-12-15 03:51:00,18039,17966,18043,17966,89.40520326
2017-12-15 03:52:00,17971,17948,17975,17938,33.66992668
2017-12-15 03:53:00,17949,17987,17987,17942.39168929,23.55924448
2017-12-15 03:54:00,17988,17993,18028,17973,25.91607459
2017-12-15 03:55:00,17993,17954,18000,17933,37.01792717
2017-12-15 03:56:00,17937,17950,17955,17934,16.06481205
2017-12-15 03:57:00,17951,17948,17985,17937,28.20854774
2017-12-15 03:58:00,17953,17982,17984,17938,29.52774083
2017-12-15 03:59:00,17981,17980,17998,17962,32.38117394
2017-12-15 04:00:00,17979,18000,18010,17975,51.98131041
2017-12-15 04:01:00,18000,18059,18062,18000,75.58492108
2017-12-15 04:02:00,18041,18040,18061,18022,64.22374268
2017-12-15 04:03:00,18036,18029,18040,18029,19.89993078
2017-12-15 04:04:00,18029,18004,18030,18004,20.89136324
2017-12-15 04:05:00,18004,18000,18023,17982,36.50774577
2017-12-15 04:06:00,18000,17984,18011,17982,26.36298205
2017-12-15 04:07:00,17985,18000,18030,17985,21.55128676
2017-12-15 04:08:00,18001,18027,18030,18000,24.02027704
2017-12-15 04:09:00,18027,18023,18030,18020,24.53322311
2017-12-15 04:10:00,18024,18030,18030,18024,11.18317777
2017-12-15 04:11:00,18030,18038,18048,18029,20.80230721
2017-12-15 04:12:00,18038,18002,18038,18001,47.72850688
2017-12-15 04:13:00,18002,18000,18003,18000,34.88344642
2017-12-15 04:14:00,18000,18026,18027,18000,16.80638948
2017-12-15 04:15:00,18026,18025,18040,18025,27.53750916
2017-12-15 04:16:00,18031,18032,18033,17999,39.60229272
2017-12-15 04:17:00,18032,18004,18032,17985,26.43029987
2017-12-15 04:18:00,18002,17996,18005,17980,22.17170338
2017-12-15 04:19:00,17996,18009,18010,17996,12.04246281
2017-12-15 04:20:00,18010,18000,18011,18000,14.46240145
2017-12-15 04:21:00,18000,17938,18001,17920,63.0953874
2017-12-15 04:22:00,17938,17893,17939,17877,102.31542826
2017-12-15 04:23:00,17891,17910,17910,17875,70.81344351
2017-12-15 04:24:00,17910,17923,17945,17890,49.33136992
2017-12-15 04:25:00,17922,17950,17950,17922,28.43079985
2017-12-15 04:26:00,17949,17989,18048,17949,91.77137413
2017-12-15 04:27:00,17989,17965,17998,17965,20.19360286
2017-12-15 04:28:00,17966,17955,17986,17940,13.47049322
2017-12-15 04:29:00,17954,17977,17986,17949,16.41883756
2017-12-15 04:30:00,17977,17981,17988,17965,21.63820477
2017-12-15 04:31:00,17984,17983,17987,17976,10.00356184
2017-12-15 04:32:00,17983,17984,17996,17983,29.81425267
2017-12-15 04:33:00,17985,17983,17990,17983,11.50813247
2017-12-15 04:34:00,17983,17992,17993,17983,5.12420324
2017-12-15 04:35:00,17992,17993,17998,17992,25.50156959
2017-12-15 04:36:00,17993,17964,17994,17960,43.19203839
2017-12-15 04:37:00,17963,17953,17980,17952,24.64143157
2017-12-15 04:38:00,17952,17954,17954,17952,2.80306009
2017-12-15 04:39:00,17953,17952,17953,17952,3.56753453
2017-12-15 04:40:00,17953,17952,17963,17952,13.64195459
2017-12-15 04:41:00,17953,17949,18000,17923,74.15225773
2017-12-15 04:42:00,17959,17949,17974,17934,15.1420206
2017-12-15 04:43:00,17950,17927,17950,17925,8.47507797
2017-12-15 04:44:00,17928,17920,17936,17920,59.82231202
2017-12-15 04:45:00,17920,17922,17930,17920,28.92385073
2017-12-15 04:46:00,17923,17866,17923,17858.57631921,79.22021346
2017-12-15 04:47:00,17865,17880,17901,17812,95.85011631
2017-12-15 04:48:00,17884,17872,17888,17824,26.49075792
2017-12-15 04:49:00,17871,17882,17897,17865,35.95967784
2017-12-15 04:50:00,17883,17836,17886,17812,51.52253555
2017-12-15 04:51:00,17848,17858,17867,17836,16.50225896
2017-12-15 04:52:00,17863,17842,17878,17842,19.30724304
2017-12-15 04:53:00,17842,17852,17852,17842,17.39589804
2017-12-15 04:54:00,17852,17867,17876,17845,8.78978572
2017-12-15 04:55:00,17861,17853,17865,17842,17.3716047
2017-12-15 04:56:00,17859,17881,17889,17857,16.29345969
2017-12-15 04:57:00,17881,17927,17929,17881,18.42569798
2017-12-15 04:58:00,17927,17917,17944.75268563,17903,45.18825139
2017-12-15 04:59:00,17924,17890,17924,17878,25.68096921
2017-12-15 05:00:00,17891,17915,17925,17890,19.57518461
2017-12-15 05:01:00,17915,17899,17924,17890,43.87321587
2017-12-15 05:02:00,17900,17936,17941.21119112,17898,26.4662547
2017-12-15 05:03:00,17935,17908,17935,17903,14.85513226
2017-12-15 05:04:00,17904,17916,17923,17893,12.96266035
2017-12-15 05:05:00,17916,17911,17925,17910,13.93084626
2017-12-15 05:06:00,17910,17877,17911,17877,27.55767987
2017-12-15 05:07:00,17872,17841,17876,17838,49.08150763
2017-12-15 05:08:00,17842,17835,17842,17830,40.08121371
2017-12-15 05:09:00,17834,17849,17893,17834,53.96129125
2017-12-15 05:10:00,17848,17863,17872,17831,43.20473185
2017-12-15 05:11:00,17864,17850,17864,17850,24.34521798
2017-12-15 05:12:00,17842,17844,17850,17840,12.5614877
2017-12-15 05:13:00,17847,17835,17849,17835,28.34543835
2017-12-15 05:14:00,17835,17825,17841,17825,41.43759695
2017-12-15 05:15:00,17825,17801,17826,17801,90.59099519
2017-12-15 05:16:00,17801,17777,17802,17761,118.85347205
2017-12-15 05:17:00,17778,17757,17778,17750,33.59339477
2017-12-15 05:18:00,17757,17759,17785,17752,43.55066451
2017-12-15 05:19:00,17757,17769,17769,17751,30.4724402
2017-12-15 05:20:00,17765,17771,17790,17764,40.52413241
2017-12-15 05:21:00,17771,17767,17800,17760,39.77519104
2017-12-15 05:22:00,17768,17789,17792,17767,19.37731679
2017-12-15 05:23:00,17789,17797,17827,17789,49.14414444
2017-12-15 05:24:00,17798,17796,17798,17789,28.84703222
2017-12-15 05:25:00,17796,17780,17797,17780,29.50407645
2017-12-15 05:26:00,17780,17752,17782,17751,36.03577239
2017-12-15 05:27:00,17751,17749,17771,17726,65.55944864
2017-12-15 05:28:00,17749,17691,17752,17690,178.92011215
2017-12-15 05:29:00,17691,17682,17696,17680,105.04667205
2017-12-15 05:30:00,17683,17667.33561563,17685,17667.33561563,51.67090607
2017-12-15 05:31:00,17667.33561563,17657,17673,17655,63.65340783
2017-12-15 05:32:00,17666,17658,17682,17650,76.57833717
2017-12-15 05:33:00,17657,17657,17670,17652,59.74166109
2017-12-15 05:34:00,17657,17658,17660,17657,25.79718949
2017-12-15 05:35:00,17661,17710,17731,17658,69.50411796
2017-12-15 05:36:00,17711,17700,17723,17700,49.75803926
2017-12-15 05:37:00,17700,17677,17701,17672,20.74657214
2017-12-15 05:38:00,17673,17701,17748,17670,55.53893443
2017-12-15 05:39:00,17700,17718,17744,17693,69.05303708
2017-12-15 05:40:00,17718,17706,17732,17705,29.73165067
2017-12-15 05:41:00,17707,17693,17711,17691,46.4950351
2017-12-15 05:42:00,17697,17681,17740,17680,51.08205377
2017-12-15 05:43:00,17681,17681,17683,17680,58.63802518
2017-12-15 05:44:00,17680,17644,17681,17628.37917601,72.60375504
2017-12-15 05:45:00,17631,17571,17641,17571,112.666199
2017-12-15 05:46:00,17581,17643,17652,17560,78.57399107
2017-12-15 05:47:00,17631,17637,17664.97461929,17617,88.675017
2017-12-15 05:48:00,17636,17665,17679,17632,69.87824581
2017-12-15 05:49:00,17665,17696,17697,17665,66.5585238
2017-12-15 05:50:00,17697,17728,17736,17696,59.36646
2017-12-15 05:51:00,17728,17761,17761,17724,59.60164049
2017-12-15 05:52:00,17761,17815,17817,17755,77.43057917
2017-12-15 05:53:00,17817,17852,17877,17817,111.31592946
2017-12-15 05:54:00,17852,17838,17871,17826,76.48805512
2017-12-15 05:55:00,17838,17797,17839,17796,55.86617374
2017-12-15 05:56:00,17796,17841,17841,17796,52.1707487
